Consecutivo,Estado,Region,Municipio,Uso Suelo,Acto Juridico,Año
234,JALISCO,GUADALAJARA,GUADALAJARA,HABITACIONAL,Hipoteca,2017
235,JALISCO,GUADALAJARA,GUADALAJARA,HABITACIONAL,Hipoteca,2017
236,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
237,JALISCO,GUADALAJARA,GUADALAJARA,HABITACIONAL,Hipoteca,2017
238,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
239,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
240,JALISCO,GUADALAJARA,TLAJOMULCO DE ZUÑIGA,URBANO,Hipoteca,2017
241,JALISCO,GUADALAJARA,TLAJOMULCO DE ZUÑIGA,NO CONSTA,Hipoteca,2017
242,JALISCO,GUADALAJARA,ZAPOPAN,URBANO,Hipoteca,2017
243,JALISCO,GUADALAJARA,TLAQUEPAQUE,HABITACIONAL,Hipoteca,2017
244,JALISCO,GUADALAJARA,ZAPOPAN,,Hipoteca,2017
245,JALISCO,GUADALAJARA,TLAQUEPAQUE,,Hipoteca,2017
246,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
247,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
248,JALISCO,GUADALAJARA,GUADALAJARA,HABITACIONAL,Hipoteca,2017
249,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
250,JALISCO,GUADALAJARA,ZAPOPAN,,Hipoteca,2017
251,JALISCO,GUADALAJARA,GUADALAJARA,HABITACIONAL,Hipoteca,2017
252,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
253,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
254,JALISCO,GUADALAJARA,GUADALAJARA,HABITACIONAL,Hipoteca,2017
255,JALISCO,GUADALAJARA,GUADALAJARA,HABITACIONAL,Hipoteca,2017
256,JALISCO,GUADALAJARA,TLAJOMULCO DE ZUÑIGA,HABITACIONAL,Hipoteca,2017
257,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
258,JALISCO,GUADALAJARA,GUADALAJARA,HABITACIONAL,Hipoteca,2017
259,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
260,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
261,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
262,JALISCO,GUADALAJARA,ZAPOPAN,URBANO,Hipoteca,2017
263,JALISCO,GUADALAJARA,TLAQUEPAQUE,HABITACIONAL,Hipoteca,2017
264,JALISCO,GUADALAJARA,TLAQUEPAQUE,HABITACIONAL,Hipoteca,2017
265,JALISCO,GUADALAJARA,TONALA,,Hipoteca,2017
266,JALISCO,GUADALAJARA,TONALA,HABITACIONAL,Hipoteca,2017
267,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
268,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
269,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
270,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
271,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
272,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
273,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
274,JALISCO,GUADALAJARA,GUADALAJARA,URBANO,Hipoteca,2017
275,JALISCO,GUADALAJARA,GUADALAJARA,HABITACIONAL,Hipoteca,2017
276,JALISCO,GUADALAJARA,GUADALAJARA,HABITACIONAL,Hipoteca,2017
277,JALISCO,GUADALAJARA,TONALA,HABITACIONAL,Hipoteca,2017
278,JALISCO,GUADALAJARA,TLAQUEPAQUE,HABITACIONAL,Hipoteca,2017
